what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047027451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047234702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047287627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047537621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047559447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047560658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1418047584004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047601374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047604181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1418047605870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047614986
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047617555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047631431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047635216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047656324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047786770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047798907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047799403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047799700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047808245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1418047819229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047844982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1418047845209
